start_label,type,end_label,counts,new_type,reverse_node_labels
Biological Process,mediated_by,Drug,3,,
Biological Process,associated_with,Pathway,197,,
Biological Process,associated_with,Phenotype,1099289,associated_with,
Biological Process,only_in_taxon,Taxon,551003,in_taxon,
Biological Process,has_input,Taxon,10908,has_input,
Cell Type,part_of,Anatomy,877,part_of,
Cell Type,located_in,Anatomy,13,part_of,
Cell Type,axon_synapses_in,Anatomy,13,,
Cell Type,produces,Anatomy,6,,
Cell Type,adjacent_to,Anatomy,6,part_of,
Cell Type,has_soma_location,Anatomy,4,part_of,
Cell Type,is_a,Anatomy,2,,
Cell Type,has_synaptic_terminal_in,Anatomy,2,part_of,
Cell Type,innervates,Anatomy,1,,
Cell Type,capable_of,Biological Process,285,capable_of,
Cell Type,positively_regulates,Biological Process,20,,
Cell Type,participates_in,Biological Process,18,capable_of,
Cell Type,has_not_completed,Biological Process,12,,
Cell Type,has_completed,Biological Process,10,produces,True
Cell Type,regulates,Biological Process,8,,
Cell Type,negatively_regulates,Biological Process,8,,
Cell Type,capable_of_part_of,Biological Process,1,,
Cell Type,has_plasma_membrane_part,Cellular Component,42,part_of,True
Cell Type,has_part,Cellular Component,36,part_of,True
Cell Type,lacks_plasma_membrane_part,Cellular Component,28,,
Cell Type,has_high_plasma_membrane_amount,Cellular Component,15,part_of,True
Cell Type,produces,Cellular Component,14,,
Cell Type,lacks_part,Cellular Component,8,,
Cell Type,has_low_plasma_membrane_amount,Cellular Component,6,,
Cell Type,is_a,Cellular Component,4,,
Cell Type,has_plasma_membrane_part,Gene,412,part_of,True
Cell Type,lacks_plasma_membrane_part,Gene,392,,
Cell Type,has_part,Gene,77,part_of,True
Cell Type,has_low_plasma_membrane_amount,Gene,64,,
Cell Type,has_high_plasma_membrane_amount,Gene,58,part_of,True
Cell Type,lacks_part,Gene,10,,
Cell Type,capable_of,Molecular Function,7,capable_of,
Cellular Component,associated_with,Biological Process,83,,
Cellular Component,part_of,Cell Type,66,part_of,
Cellular Component,overlaps,Cell Type,15,part_of,
Cellular Component,is_a,Cell Type,1,,
Cellular Component,has_part,Compound,12,,
Cellular Component,associated_with,Disease,141526,associated_with,
Cellular Component,has_part,Drug,1,,
Cellular Component,associated_with,Phenotype,59939,associated_with,
Cellular Component,only_in_taxon,Taxon,412287,in_taxon,
Complex,involved_in,Biological Process,401,involved_in,
Complex,positively_regulates,Biological Process,106,positively_regulates,
Complex,negatively_regulates,Biological Process,54,negatively_regulates,
Complex,regulates,Biological Process,52,regulates,
Complex,part_of,Cellular Component,15990,part_of,
Complex,enables,Molecular Function,161,enables,
Complex,positively_regulates,Molecular Function,15,positively_regulates,
Complex,regulates,Molecular Function,12,regulates,
Complex,negatively_regulates,Molecular Function,5,negatively_regulates,
Complex,positively_regulates,Reaction,718,positively_regulates,
Complex,negatively_regulates,Reaction,355,negatively_regulates,
Complex,in_taxon,Taxon,4215,in_taxon,
Compound,Primary,Anatomy,3,,
Compound,increases_phenotype,Biological Process,21487,activates,
Compound,decreases_reaction,Biological Process,15338,inhibits,
Compound,decreases_phenotype,Biological Process,9494,inhibits,
Compound,affects_phenotype,Biological Process,6856,affects,
Compound,increases_reaction,Biological Process,3508,activates,
Compound,affects_reaction,Biological Process,1324,affects,
Compound,inhibitor,Biological Process,384,inhibits,
Compound,activator,Biological Process,245,activates,
Compound,modulator,Biological Process,234,affects,
Compound,interacts,Biological Process,66,affects,
Compound,blocker,Biological Process,27,inhibits,
Compound,substrate,Biological Process,24,,
Compound,marker_or_mechanism,Biological Process,24,,
Compound,chelating_agent,Biological Process,7,,
Compound,therapeutic,Biological Process,6,,
Compound,binding_agent,Biological Process,2,,
Compound,chaperone,Biological Process,2,,
Compound,antagonist,Biological Process,2,inhibits,
Compound,releasing_agent,Biological Process,1,,
Compound,oxidative_enzyme,Biological Process,1,,
Compound,agonist,Biological Process,1,activates,
Compound,part_of,Cellular Component,2930,part_of,
Compound,decreases_phenotype,Cellular Component,37,inhibits,
Compound,increases_phenotype,Cellular Component,29,activates,
Compound,decreases_reaction,Cellular Component,22,inhibits,
Compound,inhibitor,Cellular Component,15,inhibits,
Compound,affects_phenotype,Cellular Component,7,affects,
Compound,increases_reaction,Cellular Component,6,activates,
Compound,modulator,Cellular Component,3,affects,
Compound,activator,Cellular Component,2,activates,
Compound,affects_reaction,Cellular Component,2,affects,
Compound,binding_agent,Cellular Component,1,,
Compound,substrate,Cellular Component,1,,
Compound,part_of,Complex,2928,part_of,
Compound,marker_or_mechanism,Disease,13847,marker_or_mechanism,
Compound,Primary,Disease,9157,treats,
Compound,treats,Disease,8347,treats,
Compound,therapeutic,Disease,8125,treats,
Compound,Palliative,Disease,1144,palliates,
Compound,Preventing,Disease,873,prevents,
Compound,Diagnostic,Disease,862,diagnoses,
Compound,Inactive ingredient,Disease,212,,
Compound,Secondary,Disease,103,palliates,
Compound,Preventive,Disease,1,prevents,
Compound,increases_expression,Gene,278637,activates,
Compound,decreases_expression,Gene,234830,inhibits,
Compound,affects_expression,Gene,68510,affects,
Compound,increases_activity,Gene,17796,activates,
Compound,decreases_activity,Gene,12758,inhibits,
Compound,targets,Gene,5314,affects,
Compound,inhibitor,Gene,4498,inhibits,
Compound,agonist,Gene,2570,activates,
Compound,antagonist,Gene,2241,inhibits,
Compound,affects_activity,Gene,1268,affects,
Compound,substrate,Gene,790,,
Compound,activator,Gene,670,activates,
Compound,positive_allosteric_modulator,Gene,658,activates,
Compound,binding_agent,Gene,475,affects,
Compound,blocker,Gene,470,inhibits,
Compound,enzyme inhibitor,Gene,202,inhibits,
Compound,modulator,Gene,187,affects,
Compound,partial_agonist,Gene,177,activates,
Compound,channel blocker,Gene,89,inhibits,
Compound,negative_allosteric_modulator,Gene,76,inhibits,
Compound,ligand,Gene,67,,
Compound,inverse_agonist,Gene,66,inhibits,
Compound,allosteric modulator,Gene,52,affects,
Compound,opener,Gene,48,affects,
Compound,binder,Gene,30,affects,
Compound,product of,Gene,26,,
Compound,interacts,Gene,17,affects,
Compound,positive modulator,Gene,16,activates,
Compound,partial agonist,Gene,12,activates,
Compound,potentiator,Gene,9,affects,
Compound,negative modulator,Gene,7,inhibits,
Compound,other/unknown,Gene,5,,
Compound,adduct,Gene,5,,
Compound,binding,Gene,4,affects,
Compound,oxidizer,Gene,4,affects,
Compound,inducer,Gene,4,activates,
Compound,cofactor,Gene,4,,
Compound,channel activator activity,Gene,2,activates,
Compound,neutral_antagonist,Gene,2,affects,
Compound,chaperone,Gene,2,,
Compound,releasing agent,Gene,2,,
Compound,Neutralizing antibody,Gene,1,inhibits,
Compound,protein-protein interaction inhibitor,Gene,1,inhibits,
Compound,inhibitory allosteric modulator,Gene,1,inhibits,
Compound,other,Gene,1,,
Compound,suppressor,Gene,1,inhibits,
Compound,stimulator,Gene,1,activates,
Compound,aggregation inhibitor,Gene,1,inhibits,
Compound,pharmacological chaperone,Gene,1,,
Compound,decreases_phenotype,Molecular Function,1144,inhibits,
Compound,decreases_reaction,Molecular Function,983,inhibits,
Compound,increases_phenotype,Molecular Function,822,activates,
Compound,increases_reaction,Molecular Function,121,activates,
Compound,affects_phenotype,Molecular Function,106,affects,
Compound,affects_reaction,Molecular Function,96,affects,
Compound,inhibitor,Molecular Function,36,inhibits,
Compound,activator,Molecular Function,30,activates,
Compound,modulator,Molecular Function,12,affects,
Compound,blocker,Molecular Function,8,inhibits,
Compound,opener,Molecular Function,2,activates,
Compound,associated_with,Pathway,978994,associated_with,
Compound,part_of,Pathway,36682,part_of,
Compound,inhibitor,Pathway,79,,
Compound,activator,Pathway,42,,
Compound,blocker,Pathway,2,,
Compound,marker_or_mechanism,Phenotype,7826,marker_or_mechanism,
Compound,therapeutic,Phenotype,4657,treats,
Compound,Primary,Phenotype,315,treats,
Compound,Palliative,Phenotype,162,palliates,
Compound,treats,Phenotype,105,treats,
Compound,Diagnostic,Phenotype,70,diagnoses,
Compound,Preventing,Phenotype,33,prevents,
Compound,Secondary,Phenotype,12,palliates,
Compound,Inactive ingredient,Phenotype,5,,
Compound,targets,Protein,14,affects,
Compound,inhibitor,Protein,10,inhibits,
Compound,activator,Protein,7,activates,
Compound,part_of,Reaction,29212,part_of,
Compound,positively_regulates,Reaction,213,positively_regulates,
Compound,negatively_regulates,Reaction,86,negatively_regulates,
Compound,in_taxon,Taxon,1,,
Disease,localized_to,Anatomy,1,,
Disease,decreases_reaction,Biological Process,9,associated_with,TRUE
Disease,increases_phenotype,Biological Process,7,associated_with,TRUE
Disease,decreases_phenotype,Biological Process,6,associated_with,TRUE
Disease,affects_phenotype,Biological Process,5,associated_with,TRUE
Disease,therapeutic,Disease,12,,
Disease,marker_or_mechanism,Disease,12,,
Disease,presents,Disease,6,,
Disease,increases_expression,Gene,7,associated_with,TRUE
Disease,decreases_expression,Gene,6,associated_with,TRUE
Disease,increases_activity,Gene,2,associated_with,TRUE
Disease,decreases_activity,Gene,1,associated_with,TRUE
Disease,affects_expression,Gene,1,associated_with,TRUE
Disease,associated_with,Pathway,294636,associated_with,True
Disease,presents,Phenotype,95013,presents,
Disease,marker_or_mechanism,Phenotype,12,,
Disease,therapeutic,Phenotype,5,,
Drug,Primary,Anatomy,3,,
Drug,increases_phenotype,Biological Process,14293,activates,
Drug,decreases_reaction,Biological Process,11260,inhibits,
Drug,decreases_phenotype,Biological Process,7402,inhibits,
Drug,affects_phenotype,Biological Process,4334,affects,
Drug,increases_reaction,Biological Process,3164,activates,
Drug,affects_reaction,Biological Process,1091,affects,
Drug,inhibitor,Biological Process,285,inhibits,
Drug,activator,Biological Process,129,activates,
Drug,modulator,Biological Process,77,affects,
Drug,interacts,Biological Process,14,affects,
Drug,blocker,Biological Process,10,inhibits,
Drug,substrate,Biological Process,9,,
Drug,chelating_agent,Biological Process,2,,
Drug,antagonist,Biological Process,2,inhibits,
Drug,partial_agonist,Biological Process,2,activates,
Drug,releasing_agent,Biological Process,1,affects,
Drug,oxidative_enzyme,Biological Process,1,,
Drug,part_of,Cellular Component,646,part_of,
Drug,increases_phenotype,Cellular Component,14,activates,
Drug,decreases_reaction,Cellular Component,9,inhibits,
Drug,increases_reaction,Cellular Component,8,activates,
Drug,decreases_phenotype,Cellular Component,7,inhibits,
Drug,inhibitor,Cellular Component,5,inhibits,
Drug,antagonist,Cellular Component,2,inhibits,
Drug,affects_phenotype,Cellular Component,2,,
Drug,blocker,Cellular Component,1,inhibits,
Drug,modulator,Cellular Component,1,,
Drug,interacts,Cellular Component,1,,
Drug,part_of,Complex,229,part_of,
Drug,treats,Disease,31647,treats,
Drug,Primary,Disease,8484,treats,
Drug,marker_or_mechanism,Disease,6009,marker_or_mechanism,
Drug,therapeutic,Disease,4827,treats,
Drug,Palliative,Disease,872,palliates,
Drug,Preventing,Disease,447,prevents,
Drug,Diagnostic,Disease,263,diagnoses,
Drug,Secondary,Disease,134,palliates,
Drug,Inactive ingredient,Disease,56,,
Drug,Preventive,Disease,2,prevents,
Drug,,Disease,,,
Drug,increases_expression,Gene,168612,activates,
Drug,decreases_expression,Gene,147547,inhibits,
Drug,affects_expression,Gene,54888,affects,
Drug,increases_activity,Gene,10081,activates,
Drug,targets,Gene,9116,affects,
Drug,decreases_activity,Gene,8399,inhibits,
Drug,inhibitor,Gene,6215,inhibits,
Drug,antagonist,Gene,3363,inhibits,
Drug,agonist,Gene,2509,activates,
Drug,blocker,Gene,1172,inhibits,
Drug,affects_activity,Gene,1013,affects,
Drug,enzyme inhibitor,Gene,784,inhibits,
Drug,positive_allosteric_modulator,Gene,605,activates,
Drug,activator,Gene,563,activates,
Drug,modulator,Gene,306,affects,
Drug,potentiator,Gene,280,affects,
Drug,substrate,Gene,261,,
Drug,binding_agent,Gene,220,affects,
Drug,partial_agonist,Gene,214,activates,
Drug,positive allosteric modulator,Gene,197,activates,
Drug,channel blocker,Gene,196,inhibits,
Drug,allosteric modulator,Gene,124,affects,
Drug,binder,Gene,92,affects,
Drug,negative_allosteric_modulator,Gene,74,inhibits,
Drug,cofactor,Gene,74,affects,
Drug,partial agonist,Gene,64,activates,
Drug,other/unknown,Gene,52,,
Drug,inducer,Gene,45,activates,
Drug,opener,Gene,39,affects,
Drug,inverse_agonist,Gene,36,inhibits,
Drug,positive modulator,Gene,27,activates,
Drug,other,Gene,26,,
Drug,ligand,Gene,24,affects,
Drug,inverse agonist,Gene,23,inhibits,
Drug,negative modulator,Gene,12,inhibits,
Drug,multitarget,Gene,10,,
Drug,interacts,Gene,9,affects,
Drug,downregulator,Gene,8,inhibits,
Drug,product of,Gene,8,,
Drug,allosteric antagonist,Gene,8,inhibits,
Drug,negative allosteric modulator,Gene,7,inhibits,
Drug,chaperone,Gene,4,,
Drug,stimulator,Gene,4,activates,
Drug,binding,Gene,3,affects,
Drug,releasing agent,Gene,3,affects,
Drug,partial antagonist,Gene,2,inhibits,
Drug,suppressor,Gene,2,inhibits,
Drug,pharmacological chaperone,Gene,2,,
Drug,releasing_agent,Gene,2,affects,
Drug,channel activator activity,Gene,1,activates,
Drug,neutral_antagonist,Gene,1,affects,
Drug,inactivator,Gene,1,inhibits,
Drug,acetylation,Gene,1,affects,
Drug,deoxidizer,Gene,1,affects,
Drug,inhibition of synthesis,Gene,1,inhibits,
Drug,weak inhibitor,Gene,1,inhibits,
Drug,antibody,Gene,1,,
Drug,decreases_phenotype,Molecular Function,683,inhibits,
Drug,decreases_reaction,Molecular Function,673,inhibits,
Drug,increases_phenotype,Molecular Function,513,activates,
Drug,increases_reaction,Molecular Function,99,activates,
Drug,affects_phenotype,Molecular Function,83,affects,
Drug,affects_reaction,Molecular Function,80,affects,
Drug,inhibitor,Molecular Function,21,inhibits,
Drug,activator,Molecular Function,6,activates,
Drug,blocker,Molecular Function,4,inhibits,
Drug,modulator,Molecular Function,3,affects,
Drug,opener,Molecular Function,1,affects,
Drug,partial_agonist,Molecular Function,1,activates,
Drug,associated_with,Pathway,227945,associated_with,
Drug,part_of,Pathway,6459,part_of,
Drug,inhibitor,Pathway,33,,
Drug,activator,Pathway,13,,
Drug,modulator,Pathway,3,,
Drug,marker_or_mechanism,Phenotype,588,marker_or_mechanism,
Drug,treats,Phenotype,436,treats,
Drug,therapeutic,Phenotype,367,treats,
Drug,Primary,Phenotype,284,treats,
Drug,Palliative,Phenotype,74,palliates,
Drug,Preventing,Phenotype,30,prevents,
Drug,Secondary,Phenotype,20,palliates,
Drug,Diagnostic,Phenotype,12,diagnoses,
Drug,Inactive ingredient,Phenotype,1,,
Drug,activator,Protein,10,activates,
Drug,inhibitor,Protein,4,inhibits,
Drug,targets,Protein,3,affects,
Drug,binding_agent,Protein,2,affects,
Drug,agonist,Protein,1,activates,
Drug,blocker,Protein,1,inhibits,
Drug,part_of,Reaction,3856,part_of,
Drug,negatively_regulates,Reaction,23,negatively_regulates,
Drug,positively_regulates,Reaction,22,positively_regulates,
Gene,involved_in,Biological Process,240302,involved_in,
Gene,positively_regulates,Biological Process,18576,positively_regulates,
Gene,regulates,Biological Process,18152,regulates,
Gene,negatively_regulates,Biological Process,12515,negatively_regulates,
Gene,marker_or_mechanism,Biological Process,10,,
Gene,decreases_reaction,Biological Process,3,,
Gene,increases_phenotype,Biological Process,3,,
Gene,therapeutic,Biological Process,3,,
Gene,increases_reaction,Biological Process,1,,
Gene,decreases_phenotype,Biological Process,1,,
Gene,affects_reaction,Biological Process,1,,
Gene,part_of,Cellular Component,171767,part_of,
Gene,part_of,Complex,22881,part_of,
Gene,marker_or_mechanism,Disease,31616,marker_or_mechanism,
Gene,associated_with,Disease,29849,associated_with,
Gene,therapeutic,Disease,1983,treats,
Gene,increases_expression,Gene,9,,
Gene,increases_activity,Gene,2,,
Gene,decreases_expression,Gene,1,,
Gene,enables,Molecular Function,162407,enables,
Gene,positively_regulates,Molecular Function,2297,positively_regulates,
Gene,negatively_regulates,Molecular Function,2004,negatively_regulates,
Gene,regulates,Molecular Function,1735,regulates,
Gene,part_of,Pathway,211055,part_of,
Gene,associated_with,Pathway,160,,
Gene,marker_or_mechanism,Phenotype,16382,marker_or_mechanism,
Gene,therapeutic,Phenotype,1287,treats,
Gene,associated_with,Phenotype,56,associated_with,
Gene,part_of,Protein Family,28426,part_of,
Gene,part_of,Reaction,145584,part_of,
Gene,regulates,Reaction,9054,regulates,
Gene,fucntion_altered_in,Reaction,2361,disrupts,True
Gene,positively_regulates,Reaction,354,positively_regulates,
Gene,negatively_regulates,Reaction,132,negatively_regulates,
Gene,in_taxon,Taxon,135358,in_taxon,
Gene,only_in_taxon,Taxon,78891,in_taxon,
Micro RNA,involved_in,Biological Process,15482,involved_in,
Micro RNA,negatively_regulates,Biological Process,973,negatively_regulates,
Micro RNA,positively_regulates,Biological Process,672,positively_regulates,
Micro RNA,regulates,Biological Process,256,regulates,
Micro RNA,part_of,Cellular Component,17161,part_of,
Micro RNA,part_of,Complex,50,part_of,
Micro RNA,regulates_NrG,Gene,94641,regulates,
Micro RNA,enables,Molecular Function,9061,enables,
Micro RNA,negatively_regulates,Molecular Function,52,negatively_regulates,
Micro RNA,positively_regulates,Molecular Function,12,positively_regulates,
Micro RNA,part_of,Pathway,260,part_of,
Micro RNA,part_of,Reaction,164,part_of,
Micro RNA,positively_regulates,Reaction,1,,
Molecular Function,occurs_in,Anatomy,9,site_of,True
Molecular Function,associated_with,Biological Process,204,,
Molecular Function,has_input,Compound,2948,involved_in,True
Molecular Function,transports_or_maintains_localization_of,Compound,2551,involved_in,True
Molecular Function,imports,Compound,79,involved_in,True
Molecular Function,exports,Compound,60,involved_in,True
Molecular Function,has_participant,Compound,2,involved_in,True
Molecular Function,has_output,Compound,1,,
Molecular Function,associated_with,Disease,218088,associated_with,
Molecular Function,has_input,Drug,286,involved_in,True
Molecular Function,transports_or_maintains_localization_of,Drug,185,involved_in,True
Molecular Function,imports,Drug,25,involved_in,True
Molecular Function,exports,Drug,7,involved_in,True
Molecular Function,has_participant,Drug,2,involved_in,True
Molecular Function,associated_with,Phenotype,109092,associated_with,
Molecular Function,only_in_taxon,Taxon,84544,in_taxon,
Pathway,involved_in,Biological Process,2057,involved_in,
Pathway,regulates,Biological Process,84,regulates,
Pathway,positively_regulates,Biological Process,53,positively_regulates,
Pathway,negatively_regulates,Biological Process,29,negatively_regulates,
Pathway,part_of,Cellular Component,2610,site_of,True
Pathway,has_part,Compound,3004,part_of,True
Pathway,associated_with,Disease,15288,associated_with,
Pathway,disrupted_in,Disease,232,disrupts,True
Pathway,has_part,Drug,1103,part_of,True
Pathway,has_part,Gene,21697,part_of,True
Pathway,regulates,Molecular Function,14,regulates,
Pathway,positively_regulates,Molecular Function,6,positively_regulates,
Pathway,negatively_regulates,Molecular Function,1,,
Pathway,disrupts,Pathway,311,disrupts,
Pathway,has_part,Protein,5,part_of,True
Pathway,in_taxon,Taxon,2085,in_taxon,
Phenotype,associated_with,Gene,137651,associated_with,True
Phenotype,associated_with,Pathway,148098,associated_with,True
Protein,involved_in,Biological Process,40802,involved_in,
Protein,regulates,Biological Process,2977,regulates,
Protein,negatively_regulates,Biological Process,242,negatively_regulates,
Protein,positively_regulates,Biological Process,171,positively_regulates,
Protein,decreases_phenotype,Biological Process,4,negatively_regulates,
Protein,increases_phenotype,Biological Process,1,positively_regulates,
Protein,part_of,Cellular Component,47536,part_of,
Protein,part_of,Complex,3876,part_of,
Protein,treats,Disease,24,treats,
Protein,enables,Molecular Function,58831,enables,
Protein,positively_regulates,Molecular Function,253,positively_regulates,
Protein,regulates,Molecular Function,240,regulates,
Protein,negatively_regulates,Molecular Function,223,negatively_regulates,
Protein,part_of,Pathway,32745,part_of,
Protein,associated_with,Pathway,13,,
Protein,part_of,Reaction,23816,part_of,
Protein,regulates,Reaction,440,regulates,
Protein,positively_regulates,Reaction,66,positively_regulates,
Protein,negatively_regulates,Reaction,11,negatively_regulates,
Protein,fucntion_altered_in,Reaction,1,disrupts,True
Protein,in_taxon,Taxon,69321,,
Protein Family,involved_in,Biological Process,10775,involved_in,
Protein Family,regulates,Biological Process,898,regulates,
Protein Family,negatively_regulates,Biological Process,267,negatively_regulates,
Protein Family,positively_regulates,Biological Process,196,positively_regulates,
Protein Family,part_of,Cellular Component,5123,part_of,
Protein Family,enables,Molecular Function,9518,enables,
Protein Family,negatively_regulates,Molecular Function,106,negatively_regulates,
Protein Family,positively_regulates,Molecular Function,78,positively_regulates,
Protein Family,regulates,Molecular Function,58,regulates,
Reaction,involved_in,Biological Process,660,involved_in,
Reaction,negatively_regulates,Biological Process,56,negatively_regulates,
Reaction,positively_regulates,Biological Process,28,positively_regulates,
Reaction,regulates,Biological Process,26,regulates,
Reaction,part_of,Cellular Component,26205,site_of,True
Reaction,has_output,Complex,6283,has_output,
Reaction,has_input,Complex,5500,has_input,
Reaction,has_input,Compound,10412,has_input,
Reaction,has_output,Compound,10034,has_output,
Reaction,associated_with,Disease,670,associated_with,
Reaction,disrupted_in,Disease,379,disrupts,True
Reaction,has_input,Drug,900,has_input,
Reaction,has_output,Drug,867,has_output,
Reaction,has_input,Gene,101837,has_input,
Reaction,has_output,Gene,99902,has_output,
Reaction,enables,Molecular Function,1688,enables,
Reaction,positively_regulates,Molecular Function,8,positively_regulates,
Reaction,negatively_regulates,Molecular Function,3,negatively_regulates,
Reaction,regulates,Molecular Function,1,regulates,
Reaction,part_of,Pathway,15232,part_of,
Reaction,has_output,Protein,15421,has_output,
Reaction,has_input,Protein,15404,has_input,
Reaction,follows_in_sequence,Reaction,10363,follows_in_sequence,
Reaction,disrupts,Reaction,351,disrupts,
Reaction,in_taxon,Taxon,5239,in_taxon,
Taxon,causes,Disease,72801,causes,
